SubjectCode,Age,Gender,ReadingScore,RealCopyingAccuracy,PseudoCopyingAccuracy
1,20,F,88,28,30
2,22,F,26,23,24
3,20,F,38,28,21
5,23,F,39,30,28
6,18,F,66,32,27
7,21,F,85,29,28
8,21,F,72,28,27
301,23,F,28,21,16
401,26,F,52,27,22
403,24,F,52,26,24
404,19,F,38,27,17
405,38,F,71,28,27
406,27,F,28,25,21
407,20,F,32,27,28
408,22,F,35,29,26
409,22,M,61,28,19
410,23,F,39,29,31
411,22,F,30,25,27
412,22,F,50,22,23
413,22,F,47,27,27
414,22,M,48,28,28
415,22,F,44,17,24
416,40,F,67,27,27
501,21,F,45,26,26
502,26,F,44,23,26
503,23,F,55,26,25
504,22,F,59,31,29
505,25,M,51,15,20
506,29,F,33,18,21
507,23,F,48,18,26
508,26,M,35,13,17
509,25,M,47,26,19
510,21,F,67,29,31
511,26,F,50,20,24
512,35,F,46,28,23
513,22,F,46,31,28
514,23,F,62,32,30
515,20,F,71,17,21
516,23,F,42,27,24
517,23,F,52,32,29
518,23,F,66,30,23
519,33,M,78,30,25
520,24,F,65,24,24
521,22,F,68,22,30
522,20,F,61,28,21
601,30,F,39,14,28
602,29,F,74,28,23
603,23,M,82,27,28
604,23,F,75,32,30
605,28,F,67,23,22